sheet,city,model,strategy,horizon,MAE,WAPE,MAPE,Directional Accuracy,Directional R2
Лист1,Благовещенск,Gradient Boosting,direct,160,3.5148920397981063,0.2341744699111384,77.65972031434251,0.6741671217913708,0.03545143614604551
Лист1,Благовещенск,Gradient Boosting,direct,161,3.4478077596227696,0.22970507922386937,73.50236708214206,0.6967777170944839,0.023998258646367177
Лист1,Благовещенск,Gradient Boosting,direct,162,3.4393006879673265,0.229138308189979,74.19219294371989,0.6973238667394867,0.02252180614259447
Лист1,Благовещенск,Gradient Boosting,direct,163,3.4794363252142584,0.23181228550433938,73.77675234137142,0.7200436919716002,0.01729589580387303
Лист1,Благовещенск,Gradient Boosting,direct,164,3.4698320831633445,0.23117241711984693,72.27270797780612,0.7026761332605134,-0.0032143652130953715
Лист1,Благовещенск,Gradient Boosting,direct,165,3.444213312746523,0.22946560453095186,72.33231387788136,0.7233205898416166,0.0013173275187352562
Лист1,Благовещенск,Gradient Boosting,direct,166,3.4546476467285205,0.2301607765594078,71.95215437080894,0.7164391043145822,0.0019088382213205968
Лист1,Благовещенск,Gradient Boosting,direct,167,3.506711267748704,0.23363027168404232,73.54535948970477,0.7144417740878305,-0.01552506959718647
Лист1,Благовещенск,Gradient Boosting,direct,168,3.471194980011973,0.23126404323818908,72.33040964956359,0.6959798994974874,-0.021218494539551713
Лист1,Геленджик,Decision Tree,direct,1,1.9903466855755816,0.1429220982961553,49.08246203703735,0.2675672731234339,-0.09669972475841138
Лист1,Геленджик,Decision Tree,direct,2,2.024628907748892,0.1453838237647751,45.62443444602191,0.25449395358971566,-0.07174430744677518
Лист1,Геленджик,Decision Tree,direct,3,2.200643512093173,0.15802301711031902,53.171754672939066,0.335221701710426,-0.2253223357378158
Лист1,Геленджик,Decision Tree,direct,4,2.127981958078257,0.15280536239693018,53.07222144821719,0.2703998256890729,-0.09206788541879507
Лист1,Геленджик,Decision Tree,direct,5,2.1745558841760126,0.15614972611608616,53.738932647689964,0.24839307114064713,-0.06563723339730387
Лист1,Геленджик,Decision Tree,direct,6,2.2041927369174332,0.15827787856881984,55.4474597754213,0.2781348730798562,-0.1133905816117875
Лист1,Геленджик,Decision Tree,direct,7,2.35837861885866,0.16933194993230538,60.51363193734347,0.3362388319895402,-0.20424231330507614
Лист1,Геленджик,Decision Tree,direct,8,2.3315539121729016,0.16740593183956173,58.9539171653658,0.21529745042492918,-0.0807702046523453
Лист1,Геленджик,Decision Tree,direct,9,2.3527063549686487,0.16892468050688503,60.0820108158024,0.26345609065155806,-0.08286170309239616
Лист1,Геленджик,Decision Tree,direct,10,2.373941007545663,0.17044933184923014,60.4667702919845,0.26160383525822617,-0.11663096184861765
Лист1,Геленджик,Decision Tree,direct,11,2.4412673872299804,0.17528337633329416,62.01861383322726,0.2656352146437132,-0.15706186542239164
Лист1,Геленджик,Decision Tree,direct,12,2.587609465950383,0.18579076024049107,70.1810635692417,0.3139028110699499,-0.2628172332129388
Лист1,Геленджик,Decision Tree,direct,13,2.49746592226062,0.17931843984853352,65.37582791205844,0.23589017215079539,-0.12492170409387615
Лист1,Геленджик,Decision Tree,direct,14,2.552234314819158,0.1832311414301437,71.10971284749812,0.2638117031709709,-0.1283838314745558
Лист1,Геленджик,Decision Tree,direct,15,2.651597439262649,0.1903646630672965,67.2588486100098,0.17173368203116487,-0.07857016750940904
Лист1,Геленджик,Decision Tree,direct,16,2.6167777066972846,0.18786486933550658,65.78440673647292,0.20496894409937888,-0.09490003581653328
Лист1,Геленджик,Decision Tree,direct,17,2.610233047267893,0.18739501223400298,71.3157228615345,0.2651193200392285,-0.165160185438898
Лист1,Геленджик,Decision Tree,direct,18,2.6413205712905996,0.18962686158962183,66.88889350341344,0.2060586248229269,-0.08001776205232147
Лист1,Геленджик,Decision Tree,direct,19,2.804894789203562,0.20137025461694225,77.31541062667337,0.2847335730630925,-0.20360791823352598
Лист1,Геленджик,Decision Tree,direct,20,2.8810132941330138,0.20681245223404734,77.0784843822435,0.2756102877070619,-0.2818418372152256
Лист1,Геленджик,Decision Tree,direct,21,2.81867756400952,0.20233770536811208,78.0316762011763,0.2729947689625109,-0.20169681086333324
Лист1,Геленджик,Decision Tree,direct,22,2.764133480295984,0.19842227889971384,73.16051943728333,0.2040104620749782,-0.08319616604150526
Лист1,Геленджик,Decision Tree,direct,23,2.881217041511726,0.2068270781627487,76.1602959544216,0.23648648648648649,-0.11597767134603454
Лист1,Геленджик,Decision Tree,direct,24,2.957605661380985,0.21231060641654323,82.53916227390931,0.2605710549258936,-0.1883486434524655
Лист1,Геленджик,Decision Tree,direct,25,2.9275043525347253,0.21014979531906341,78.19076678487963,0.23626852659110723,-0.1278011633866507
Лист1,Геленджик,Decision Tree,direct,26,2.9320576373853946,0.21047665115398953,76.92770790260313,0.2095684394071491,-0.10314270958486071
Лист1,Геленджик,Decision Tree,direct,27,2.93738038281603,0.21083609539738213,85.74275752467673,0.2301907356948229,-0.1176308378973101
Лист1,Геленджик,Decision Tree,direct,28,2.936386343933231,0.21076474635523948,81.46022085996334,0.2176566757493188,-0.11506085179722048
Лист1,Геленджик,Decision Tree,direct,29,3.1593011920037006,0.22676488595180805,90.60318770824186,0.2795640326975477,-0.23505093995328497
Лист1,Геленджик,Decision Tree,direct,30,2.979964191707313,0.21389262973195788,83.13729200755505,0.1907356948228883,-0.07384283237316436
Лист1,Геленджик,Decision Tree,direct,31,2.990229664892764,0.21462945370494027,84.5368793607278,0.19607629427792916,-0.08128290183970277
Лист1,Геленджик,Decision Tree,direct,32,2.997515108422855,0.2151523803494118,82.46368383562287,0.21133514986376023,-0.07895490501678215
Лист1,Геленджик,Decision Tree,direct,33,3.2101229655777535,0.23041271595850632,88.15852227227889,0.2530790190735695,-0.21491223750062116
Лист1,Геленджик,Decision Tree,direct,34,2.998394081099504,0.21519302609930216,81.03950053109202,0.18454327447133204,-0.07023187906429129
Лист1,Геленджик,Decision Tree,direct,35,3.0635424669348486,0.21986868844194254,86.97366866579628,0.2090691083496839,-0.0969547027655342
Лист1,Геленджик,Decision Tree,direct,36,3.129821828812606,0.2246255202874667,91.6097758261649,0.20285589710050142,-0.12445994386249759
Лист1,Геленджик,Decision Tree,direct,37,3.100253368500959,0.2225034088239772,87.65384119743386,0.183998255940702,-0.08641491537657231
Лист1,Геленджик,Decision Tree,direct,38,3.351187746691623,0.24051282544322103,96.99206012262701,0.26727708742097234,-0.24367725480538582
Лист1,Геленджик,Decision Tree,direct,39,3.1788931911306926,0.22814734385916086,90.39257515671179,0.2144102899498583,-0.13118919335227353
Лист1,Геленджик,Decision Tree,direct,40,3.223752234850848,0.23134525393693378,97.26577229086615,0.22021149024310477,-0.1565218817810501
Лист1,Геленджик,Decision Tree,direct,41,3.2819378232051397,0.23552081047250495,97.4625822792017,0.23427450125367927,-0.16657209480727353
Лист1,Геленджик,Decision Tree,direct,42,3.4049155087855687,0.24434602464114188,97.554336343853,0.26937752098550094,-0.24299836502408412
Лист1,Геленджик,Decision Tree,direct,43,3.281760677620665,0.2355080980221556,93.06077744270095,0.2087648533740325,-0.14903174477707815
Лист1,Геленджик,Decision Tree,direct,44,3.41888645506532,0.24534861785531237,97.25601205612813,0.2439768886950834,-0.18520407927668003
Лист1,Геленджик,Decision Tree,direct,45,3.3093605622469195,0.23748874102829728,98.33212343399684,0.20407718303717431,-0.13508468472514057
Лист1,Геленджик,Decision Tree,direct,46,3.2348259714267495,0.23213993547991574,93.947696055947,0.1743159271775864,-0.06904651850493182
Лист1,Геленджик,Decision Tree,direct,47,3.340323398204845,0.2396889016079268,96.65569503739152,0.1853467073702573,-0.10884848064343178
Лист1,Геленджик,Decision Tree,direct,48,3.2754289720010297,0.23503232441973348,94.20687404585075,0.21053205407762757,-0.07894971362604197
Лист1,Геленджик,Decision Tree,direct,49,3.6262981797464318,0.2602093641811337,110.25216231529626,0.27573048408198864,-0.33781834582893633
Лист1,Геленджик,Decision Tree,direct,50,3.3056048306566597,0.2371976292582204,98.04186894601243,0.19646750981247274,-0.0851582761544083
Лист1,Геленджик,Decision Tree,direct,51,3.277790202113993,0.23520175731132834,95.81595003896302,0.21107719145224596,-0.08916888328563788
Лист1,Геленджик,Decision Tree,direct,52,3.4263213971079702,0.2458597909022531,100.6984338806394,0.15089402529437418,-0.06233385592009344
